"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"승주골프장",관광지,전라남도 순천시 별량면 오실길 333,전라남도 순천시 별량면 덕정리 산90-1,34.89477542,127.4482083,630000,주차장,,,,,,2017-05-01,500,400,"63만평의 순천만과 다도해가 내려다 보이는 광활한 대지 위에 자연 그대로 어우러져 동, 남, 중 3개 코스로 펼쳐진 전장 9,682m의 27홀 회원제 골프장입니다.",061-740-8181,전라남도 순천시청 승주읍,2023-07-26
"파인힐스골프장",관광지,전라남도 순천시 주암면 송광사길 99,전라남도 순천시 주암면 문길리 산20-2,35.03454985,127.2723022,1023000,클럽하우스+ 락카룸+ 사우나,골프텔(36객실),27홀,,레스토랑+ 그늘집+ 프로샵,,2004-11-24,480,300,산림의 짙은 솔 내음의 대자연의 청취속에서 어우러진 다이나믹하고 드라마틱한 27홀코스,061-750-9000,전라남도 순천시청 주암면,2023-07-26
"레이크힐스골프장",관광지,전라남도 순천시 주암면 행정1길 77,전라남도 순천시 주암면 행정리 1,35.0453779,127.3092617,1120000,클럽하우스+ 락카룸+ 사우나,골프텔,36홀,,레스토랑+ 프로샵,,2008-03-13,656,400,남도의 따뜻한 기후 아래 사계절 내내 푸른 양잔디에서 라운딩이 가능한 꿈의 필드,061-729-8888,전라남도 순천시청 주암면,2023-07-26
"순천컨트리클럽",관광지,전라남도 순천시 별량면 동화사길 85,전라남도 순천시 별량면 죽산리 447,34.86653556,127.4059214,1620000,골프장,,,,매점+식당,,2007-03-12,160,150,"골프를 즐기면서 순천만과 여수, 고흥 앞바다를 한눈에 내려다볼 수 있는 자연 경관이 아름다운 남도 최고의 힐링골프장이다.",061-720-0000,전라남도 순천시청 별량면,2023-07-26
"부영컨트리클럽",관광지,전라남도 순천시 해룡면 신대로 188,전라남도 순천시 해룡면 신대리 1043,34.94005246,127.5555065,842238,ATM,호텔,골프연습장,,호텔 76객실,,2012-10-03,160,150,자연 친화형 설계로 도심과 가까운 곳에 위치하여 언제든지 부담없이 즐길수 있는 18홀 코스 컨트리클럽,061-816-5500,전라남도 순천시청 해룡면,2023-07-26
"그림책도서관",관광지,전라남도 순천시 도서관길 33(동외동),전라남도 순천시 동외동 176,34.9579091,127.4860252,2205,화장실+ 수유실,,,인형극장,카페테리아,,2017-01-01,200,20,그림책원화전시 및 인형극등 체험,061-749-8892,전라남도 순천시청 도서관운영과,2023-07-26
"순천시청소년수련원",관광지,전라남도 순천시 서면 청소년수련원길 167,전라남도 순천시 서면 운평리 774-1,35.04652524,127.4733227,559000,화장실,,,,,,1993-10-22,7500,100,물과 숲 그리고 자연과 사람이 어우러지는 청소년 수련원,061-755-6296,전라남도 순천시청 평생학습과,2023-07-26
"순천용오름마을",관광지,전라남도 순천시 주암면 운룡2길 17,전라남도 순천시 주암면 운룡리 798-1,35.0921171,127.2020571,98300,화장실+ 테마체험관+,숙박시설 5개,,용오름계곡,매점+ 용오름장터,,2011-03-01,100,50,"한봉채취, 천연 밀랍초 만들기, 한봉 분양받기, 꿀벌 관찰 등 다양하고 흥미로운 체험을 할 수 있는 농촌전통테마마을",061-754-2416,전라남도 순천시청 주암면,2023-07-26
"순천향매실마을",관광지,전라남도 순천시 월등면 계월길 138,전라남도 순천시 월등면 계월리 493,35.0622232,127.4045173,925619,체험관 1+ 숙박동 1+ 휴게시설 1+ 화장실 1,숙박시설 1동,해당없음,해당없음,휴게시설,해당없음,2008-02-28,140,42,"50여년전 마을에 매화를 심은것을 시작으로 그 규모가 마을 단위로는 전국 최대 규모이며, 매년 4월이면 마을에는 매화꽃이 피기 시작하여 매화향기와 눈가루를 뿌려놓은듯한 풍경이 아름다운 마을입니다. 군장마을로 넘어가는 고개길에는 장군이 용마를 타고 하늘로 도약하면서 남겼다는 용발태족(용발자국)이 선명하게 남아있으며, 중촌마을에는 당산나무인 수령 500년생 느티나무 두 그루가 마을 입구에 서있어 마을의 오랜역사를 말해준다. 이문마을에는 이택종 선생이 일본에서 가져와 최초로 심은 매화나무로, 향매실마을에서 가장 오래된 매화나무가 자라고 있다.",061-754-2337,전라남도 순천시청 월등면,2023-07-26
"순천생태마을",관광지,전라남도 순천시 승주읍 고산도목길 9,전라남도 순천시 승주읍 도정리 1642-1,35.06648711,127.3602718,200,화장실+ 안내소+ 생태체험관+ 주차장,생태체험관,없음,생태체험관,없음,없음,2006-04-09,600,6,산간마을의 오염되지 않은 환경 속에 도심에서는 볼 수 없는 생명들이 함께하는 곳으로 계곡과 습지가 잘 보존되어 있어 생태교육장으로 안성맞춤,061-755-0141,전라남도 순천시청 승주읍,2023-07-26
"거차뻘배체험마을",관광지,전라남도 순천시 별량면 거차길 130,전라남도 순천시 별량면 마산리 566-1,34.8375993,127.4474457,495868,화장실+ 샤워장+ 뻘배체험장,민박3개,,캠핑장,,매점,2013-04-20,300,50,"거차뻘배 체험장은 2헥타르(ha)의 넓은 공유수면에서 뻘배타기,  꼬막캐기, 칠게잡기, 짱뚱어잡기, 갯벌미끄럼틀타기 등 다양한 갯벌생태체험을 할 수 있는 곳이다.",061-742-8837,전라남도 순천시청 별량면,2023-07-26
"낙안민속자연휴양림",관광지,전라남도 순천시 낙안면 민속마을길 1600,전라남도 순천시 낙안면 동내리 산3-1,34.91226789,127.3523884,2860000,화장실+ 취사장+ 샤워장+ 민속놀이체험장+ 숲체험교실,객실 15개+ 야영장 17개,,,,,2004-02-09,300,50,"낙안읍성과 주변 경관이 수려해 휴식 공간으로는 최적지일 뿐만 아니라 인근에 송광사, 선암사 같은 전통 고찰과 서산의 저녁 노을을 함께 즐길 수 있는 주암호, 상사호가 있으며, 순천만의 갈대와 해변, 순천만 국가정원, 드라마세트장, 고인돌 공원 그리고 낙안읍성 민속마을의 각종 문화 축제를 즐길 수 있는 관광 명소들이 많아 사계절 이용이 가능",061-754-4400,전라남도 순천시청 낙안면,2023-07-26
