"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"도림사오토갬핑리조트",관광지,전라남도 곡성군 곡성읍 도림로 74,전라남도 곡성군 곡성읍 구원리 553-3,35.26209959,127.2668616,129188,주차장+안내소,,,,,,2013-06-01,100,51,"도림사관광단지 내에 위치하고 있는 캠핑장으로 가족단위의 새로운 개념의 숙박시설로캐러밴 4인 4대 / 캐러밴 6인 21대 / 편백하우스 14동 / 캠핑장 40면과 취사장, 샤워장, 화장실 등캠핑에 필요한 시설이 마련되어 있다.",061-363-6224,전라남도 곡성군청 관광과,2023-08-01
"청계동솔바람야영장",관광지,전라남도 곡성군 곡성읍 청계동로 415,전라남도 곡성군 곡성읍 신기리 1061-6,35.31107436,127.2623887,3238,주차장+화장실,,,,,,2017-06-01,80,40,"청계동 솔바람 야영장 일원은 섬진강과 인접해 있어 경치가 아름답고 계곡의 물과 주변에 울창한 숲이 우거져 계곡 피서지로는 절정의 인기를 누리는 곳이다.계곡 곳곳에는 자연속의 풀장, 어린이 놀이터, 잔디광장, 의병 체험장, 산책로 등이 조성되어어린이를 동반한 가족 단위 피서객들의 편안한 휴식처이다.",061-884-7000,전라남도 곡성군청 관광과,2023-08-01
"대황강자연휴식체혐장야영장",관광지,,전라남도 곡성군 석곡면 유정리 37,35.12497878,127.2550756,50641,주차장+화장실+샤워실+개수대,,,,,,2021-09-01,500,40,"저희 대황강 자연휴식체험캠핑장은 여가 및 레저수요에 대응한 수변관광시설을 조성하고 기존 자원과의 연계를 통한 치유의 자연휴식 체험장 조성으로 관광객 증대 및 지역 활성화 도모하고 있습니다. 석곡면은 곡성군의 서남쪽에 위치하며, 동쪽으로는 죽곡면과 목사동면, 서쪽으로는 화순군 북면, 남쪽으로는 순천시 주암면, 북쪽으로는 삼기면과 경계를 이루고 있으며 통명산, 국사봉, 한동산 등이 사방에서 솟아 있으며, 대황강(보성강)이 지역의 남쪽에서 북쪽으로 흐르고 있어서 온수천이 남류하는 유역과 연반천과 당월천이 합류하여 남쪽으로 흐르는 석곡천 유역에 소평야가 조성되어 있어 토질이 비옥하고 수리가 안전합니다.또한 호남고속도로 (석곡 나들목)와 국도 27호선이 서로 연결되어 있어 교통이 편리하며 대황강을 중심으로 목사동면과 경계를 이루고 있어서 대황강 자연휴식체험캠핑장 접근이 용이합니다. 대황강 곳곳에는 자연속의 물놀이장, 어린이 놀이터, 잔디광장, 체험장, 산책로 등이 조성되어 어린이를 동반한 가족 단위 피서객들의 편안한 휴식처가 될 것입니다.가족 및 친구, 연인들과 행복한 추억을 만들 수 있는 이곳 대황강 자연휴식체험캠핑장이 여러분을 기다립니다.",061-362-3300,전라남도 곡성군청 관광과,2023-08-01
"청계동계곡",관광지,,전라남도 곡성군 곡성읍 신기리 산 190-1,35.31375081,127.2525557,4656,주차장+화장실,,,,,,2021-09-01,1000,50,"곡성읍과 입면 사이로 동악산이 큰 용처럼 달려오다 강줄기를 만나 멈춘 곳이다. 또한 기암괴석으로 이루어진 남원시의 한봉과 순자강을 사이에 두고 서로 손으로 모으고 만나는 듯한 도계(道界)지역으로써 예부터 주변 경관이 빼어나 마치 삼청의 진경을 옮겨 놓은 듯 하다는 명승지이다.여름에는 맑은 물이 계곡 사이로 흐르고, 울창한 소나무 숲이 우거져 시원한 그늘이 많다. 계곡바닥에 깔려있는 바위와 돌들은 매끄럽고 부드러워 앉아서 놀기가 매우 좋다. 4km쯤 되는 긴 계곡으로 주변에 크고 작은 산 골짜기가 수없이 많고 골짜기를 따라 군데군데 작은 폭포들이 있는 아담한 곳이다. 계곡을 오르는 산책길의 경사도는 평지와 같이 완만하여 여름철이면 피서지로 최상의 휴식지이다.청계동 계곡은 도로와 접해 있어 접근이 쉽고, 수량이 풍부하여 물놀이하기에 최고의 조건을 갖추고 있어 여름이면 계곡 피서지로서 절정의 인기를 누린다. 섬진강과 연결되는 계곡 하류 쪽에 넓은 자연풀장이 형성되어 있어 어린이를 동반한 가족피서지로도 각광을 받고 있다. 청계동 입구에서부터 소나무사이로 난오솔길을 따라가다 보면, 무수한 계곡 쉼터를 발견할 수 있고 약 2km 거리에 청계폭포가 있다.이 곳은 임진왜란시 금산전투에 참가하여 장렬하게 전사한 최초의 의병장 청계 양대박 장군이, 왜군에게 동래성이 함락 당했다는 비보를 접하고, 즉시 낙향하여 의병을 모아 이 계곡에 진을 치고 군사를 조련했다고 하여 그의 호를 따서 청계동이라 부르게 되었다고 한다. 그래서인지 청계동 계곡에서 만나는 풍경마다엔 양대박 장군의 호연지기가 서려있는 듯하다.",061-360-8511,전라남도 곡성군청 관광과,2023-08-01
"도림사계곡",관광지,전라남도 곡성군 곡성읍 도림로 175,전라남도 곡성군 곡성읍 월봉리 327,35.26724907,127.2575171,3657,주차장+화장실,,,,,,2021-09-01,100,36,"해발 748.5m의 동악산 남쪽 골짜기를 흘러내리는 것으로 동악계곡, 성출계곡과 더불어 아홉구비마다 펼쳐진 반석 위로 맑은 물줄기가 마치 비단을 펼쳐 놓은 듯이 흐르고 수맥이 연중 그치치 않을 뿐만 아니라 노송, 계곡, 폭포들이 어우러져 절경을 이루고 있는 도림사 계곡은 지방 기념물 101호로 지정되어 있다.주변의 경치를 감상할 수 있는 반석들이 있어 예부터 풍류객들의 발길이 잦았으며 이곳 9개의 반석에는 선현들의 문구가 음각되어 있어 그들의 풍류를 엿볼 수 있고 한 아름 반석 위로 흐르는 계곡 물에 몸을 담그는 맛이 색다르다.선현들이 이곳에서 시를 짓고 노래를 불렀을 그 자취와 흔적들이 지금까지 도림사 계곡암반 위에 고스란히 남아있다. 무엇보다 선비들이 이곳을 즐겨 찾았던 또 다른 의미는 이 계곡에 성리학이 이상향으로 삼는 청류구곡의 형상이 구현되어 있다고 믿었기 때문이다. 그래서 계곡의 와폭(臥瀑)과 담(潭), 소(沼), 대(臺) 등의 암반을 아홉 구간 즉 구곡으로 구분하여 각각의 골짜기에 맞는 경구를 새겨놓고, 도림사 계곡에 머무는 그 자체를, 성리학적 이념을 되새기는 행위로 여겼다. 따라서 도림사 계곡은 성리학을 포함한 유불선의 정신이 살아있는 경전과 같은 역할을 하게 된다. 도림사 계곡이 갖는 이러한 의미는 한일합방 이후 독립운동가들에 의하여 항일운동의 이념적 거점으로 삼으려는 시도와도 연결된다.그리고 이 계곡 정상 부근에는 이곳에서 바라보는 전망이 좋아 신선이 쉬어 간다고 하는 높이 4m에 넓이 30평에 달하는 신선바위가 있으며 멀리 보이는 형제봉은 등산로 코스로 널리 알려져 있다.",061-362-2727,전라남도 곡성군청 관광과,2023-08-01
"태안사계곡",관광지,전라남도 곡성군 죽곡면 태안로 622-215,전라남도 곡성군 죽곡면 원달리 20,35.13195828,127.3863807,1069,주차장,,,,,,2021-09-01,100,11,"섬진강으로 흘러드는 보성강은 잔잔한 물줄기지만 다른 곳에 비해 덜 알려져 자연 그대로의 모습을 간직하고 있다. 보성강으로 흘러드는 태안사계곡은 이런 보성강의 아기자기한 특징을 잘 드러내주는 계곡이다.태안사 입구에서 절까지 걸어가는 2㎞쯤 되는 계곡길은 여느 계곡길보다 짧지만 이런 기대를 충족시켜주기에 충분한 자격을 갖고 있다. 고로쇠나무, 떡갈나무, 단풍나무, 소나무가 우거져 있고, 차가운 계곡에 발을 담그면 한여름의 무더위는 순식간에 사라진다.태안사의 현관 역할을 하는 능파각(凌波閣)의 운치있는 다리겸 누각도 계곡의 풍광을 즐기기 좋은 곳이다. 태안사계곡은 아주 빼어난 바위봉들은 없어도 아늑하고 편안한 분위기만으로 충분히 더위를 잊을 수 있는 곳이다.능파각(凌波閣)이라는 말은 아름다운 여인의 우아하고 가벼운 걸음걸이를 뜻한다고 한다. 능파각은 서기 850년 혜철선사가 태안사를 창건할때부터 지어졌던 목조 건물로서 몇 번의 복원과 보수끝에 지금의 모습을 유지하고 있는 것이다.능파각을 건너 숲으로 접어들면 이내 일주문이 나오면서 태안사의 정경이 한눈에 들어온다. 태안사는 지금은 규모가 그리 크지 않지만 구산선문의 유서 깊은 절로 한때 화엄사를 거느리기도 했었다. 경내에는 지름 40m쯤 되는 큰 연못 가운데 부처님 사리를 모셨다는 삼층석탑이 있어 색다른 느낌이 든다.",061-363-6669,전라남도 곡성군청 관광과,2023-08-01
"태안사",관광지,전라남도 곡성군 죽곡면 태안로 622-215,전라남도 곡성군 죽곡면 원달리 20,35.13195828,127.3863807,19150,주차장,,,,,,2021-09-01,200,9,"태안사는 통일신라 경덕왕 원년(742)에 이름모를 스님 세 분이 세웠다고 전한다. 고려시대에는 광자대사가 크게 늘려 지었는데 이 때 절의 규모는 총 40여 동에 110칸이었고, 법당에는 높이 1.4m되는 약사여래철불좌상을 모셨던 듯하다. 고려 고종 10년(1223)에는 당시 집권자인 최우가 고쳐 지었으며, 조선시대에는 숙종 10년(1684)에 주지 각현이 창고를 새로 지었다는 기록이 보이고 있다. 특히 조선초에 태종의 둘째 아들 효령대군이 이곳에 머물렀던 인연이 있는 곳이다. 한국전쟁때 많은 피해를 입어서 지금 있는 건물은 대부분이 복원된 것이다.경내에는 혜철선사의 부도인 적인선사조륜청정탑(보물 제273호), 윤다의 부도인 광자대사탑(보물 제274호), 광자대사비(보물 제275호), 승무를 출 때 사용하던 태안사대바라(보물 제956호), 태안사동종(보물 1349호), 태안사일주문(전라남도 유형문화재 제83호), 태안사삼층석탑(문화재자료 제170호) 등이 있다. 은빛모래와 하늘이 비치는 맑은 물의 섬진강을 끼고 곡성읍에서 17호선의 국도를 따라 16km가다보면 섬진강과 보성강이 합류하는 압록유원지가 나온다. 이곳에서 보성강을 끼고 국도 18호선을 따라 6km정도 가다보면 태안사로 들어가는 태안교를 접하게 되고 다리를 건너 다시 6km정도 가다보면 죽곡면 원달리에 위치한 태안사에 다다를 수 있다.동리산 자락에 위치한 태안사는 신라 경덕왕 원년(742년)에 동리산파를 일으켜 세 선승에 의하여 창건한 것으로 알려져 있는데, 처음에는 대안사로 불리웠으며 이 나라 불교의 선문 아홉가지의 하나인 동리산파의 본산지로 선암사, 송광사, 화엄사, 쌍계사 등을 거느리고 꽤 오랫동안 영화로움을 누렸던 사찰로 혜철선사와 도선국사가 득도한 정량수도의 도량이다.고려시대에 들어와서 광자선사가 32칸으로 넓혀 지었으나 고려시대 중기에 송광사가 조계종의 본산지로 지위를 굳혀 따로 제금났고, 조선시대에는 불교를 억누르는 정책 바람을 탈 수 밖에 없었으나 효령대군이 머물며 왕가의 원당으로 삼기도 하였다. 조선시대를 거치면서 줄곧 옛날의 영화로움을 되찾지 못한 채로 간신히 명맥을 유지해 오다가 식민지 시대에는 도리어 화엄사의 말사 신세로 떨어졌다. 그나마 6.25전쟁때에는 대웅전을 비롯하여 절에 딸려 있던 건물 다섯채가 불에 타 버렸고, 지금의 대웅전은 최근에 옛 모습을 본따서 새로 지은 것이다. 그러나 뜰에는 돌로 만들어진 혜철스님의 부도와 광자선사를 기리는 탑과 비가 이끼 낀 채로 남아있어 이 절의 연조가 오래됨을 말없이 보여주고 있는 태안사는 문화재 자료 23호로 지정되어 있고 경내에는 태안사 바라 등 9점의 문화재가 소장되어 있다.또한 태안사로 들어가는 1.8km의 계곡은 봄에는 신록, 여름에는 시원한 계곡과 울창한 녹음, 가을에는 짙게 물들은 단풍이 아름다운 산책로로 많은 관광객이 즐겨 찾고 있다.",061-363-6669,전라남도 곡성군청 문화체육과,2023-08-01
"도림사",관광지,전라남도 곡성군 곡성읍 도림로 175,전라남도 곡성군 곡성읍 월봉리 327,35.26727743,127.2575047,6333,주차장+화장실,,,,,,2021-09-01,100,36,"곡성읍에서 서남쪽으로 4km 떨어진 동악산 줄기인 형제봉(성출봉) 중턱에 자리잡은 도림사는 신라 무열왕 7년(660)에 원효대사가 화엄사로부터 이주하여 지었다고 전해지며 현재는 응진당, 지장전, 칠성각, 요사채 등이 있고 절 입구에는 허백련 화백이 쓴 「도림사」라는 현판이 걸려있다. 도선국사, 사명대사, 서산대사 등 도인이 숲같이 많이 모여들었다 하여 도림사라 하는데, 인근에는 도림사 계곡이 있다. 해발 748.5m의 동악산 남쪽 골짜기를 흘러내리는 것으로 동악계곡, 성출계곡과 더불어 아홉구비마다 펼쳐진 반석 위로 맑은 물줄기가 마치 비단을 펼쳐 놓은 듯이 흐르고 수맥이 연중 그치치 않을 뿐만 아니라 노송, 계곡, 폭포들이 어우러져 절경을 이루고 있는 도림사 계곡은 지방 기념물 101호로 지정되어 있다.주변의 경치를 감상할 수 있는 반석들이 있어 예부터 풍류객들의 발길이 잦았으며 이곳 9개의 반석에는 선현들의 문구가 음각되어 있어 그들의 풍류를 엿볼 수 있고 한 아름 반석 위로 흐르는 계곡 물에 몸을 담그는 맛이 색다르다. 그리고 이 계곡 정상 부근에는 이곳에서 바라보는 전망이 좋아 신선이 쉬어 간다고 하는 높이 4m에 넓이 30평에 달하는 신선바위가 있으며 멀리 보이는 형제봉은 등산로 코스로 널리 알려져 있다. 인근에 도림사를 찾는 많은 관광객에게 좋은 휴식처가 되고 있는 도림사는 1984년 지방문화재자료 22호로 지정되었고 사찰내에는 도유형문화재 119호 괘불(掛佛)이 소장되어 있다.",061-362-2727,전라남도 곡성군청 문화체육과,2023-08-01
"성륜사",관광지,전라남도 곡성군 옥과면 미술관로 287,전라남도 곡성군 옥과면 옥과리 650,35.29704978,127.1208706,44882,주차장,,,,,,2021-09-01,50,40,"곡성군 옥과면 옥과리에 위치한 대한불교조계종 성륜사(聖輪寺)는 옥과의 진산인 설산(雪山)의 남쪽 설령골에 위치하였으며, 1988년 6월4일부터 중창불사 하여 현재에 이르렀다. 주변으로 괘일산과 갈산 등이 자리를 잡고, 설산에서 발원한 작은 계곡들이 흘러 안으로 굽은 산세가 성륜사를 외호(外護)하고 있다. 성륜사는 고려시대 사찰이었던‘나암사(羅巖寺)’의 맥을 잇는 터에 자리를 잡았다. 나암사는『신증동국여지승람(新增東國輿地勝覽)』,『동국여지지(東國輿地誌)』에 기록되어 있으며,『동여비고(東輿備考)』옥과현 지도에 나타난 나암사의 위치를 보면 지리적으로 현재 성륜사가 위치한 자리였음을 알 수 있다. 조선 중기 편찬된 『여지도서(輿地圖書)』부터는 사찰이 폐했다는 기록이 전해지나, 마을 주민들의 증언으로 현재 성륜사의 자리가 ‘절골’로 불렸다는 점, 성륜사에서 고려시대 기와와 조선시대 기와가 수집되었다는 점에서 현 성륜사 터에서 법등이 계속 이어져 왔음을 알 수 있다. 성륜사는 1986년 청화 대종사(淸華 大宗師)와 아산 조방원(雅山 趙邦元) 거사와의 인연으로, 10만평의 땅을 시주 받으면서 중창불사가 시작되었다. 현재 전해지고 있는 당우로 대웅전, 지장전, 조선당, 육화당, 안심당, 법성당, 설령각, 정운당, 범종각, 적멸보궁 등이 있다. 중창불사 당시 구례군에서 이축했던‘안심당’과 ‘육화당’은 1920년대 전라남도 건축 양식을 잘 유지하고 있으며 난간의 장식, 다락 구조 등의 건축학적 특징으로 현재 근대문화재로 평가받고 있다. 또한‘조선당’은 청화 대종사가 주석하시던 곳으로, 열반하신 후에는 스님을 기리는 공간으로 남아있다. 조선당 옆으로 청화 대종사의 부도와 비석, 청화 대종사의 은사 스님인‘금타 대화상’의 부도가 자리 잡고 있다. 그 밑으로는 부처님의 진신사리를 모신 ‘적멸보궁’이 자리 잡고 있다. 곡성 성륜사는 나암사의 전통과 청화 대종사가 중창불사한 실상염불선 수행의 맥을 있는 전통사찰이다.",061-363-7001,전라남도 곡성군청 문화체육과,2023-08-01
"관음사",관광지,전라남도 곡성군 오산면 성덕관음길 453,전라남도 곡성군 오산면 선세리 2,35.21469614,127.1653199,13783,주차장,,,,,,2021-09-01,60,12,"전라남도 성덕산에 있는 관음사는 백제 분서왕 3년(300) 성덕보살이 세운 절이다. 절 이름은 성덕보살이 낙안포에서 금동관세음보살상을 모셔와 절을 짓고 이름을 ‘관음사’라 부른데서 비롯되었다고 한다.고려 공민왕 23년(1374) 5번째로 넓혀 지었고, 조선시대에는 임진왜란으로 피해를 입어 선조 37년(1604) 5년 동안 모든 건물을 복원하였다.근세에 와서는 1912년 영담화상이 전가람을 고쳐 세웠으나 한국전쟁으로 모두 불타버렸다. 이 때 국보로 지정되어 있던 원통전과 금동관음보살이 소실되었다.지금 있는 건물들은 최근에 새로 지은 것들로 금랑각을 지나면 가운데에 법당인 원통전이 있고 그 왼편과 오른편에 벽안당과 요사채 등이 있다.",061-362-4433,전라남도 곡성군청 문화체육과,2023-08-01
"천태암",관광지,전라남도 곡성군 목사동면 대신로 381-336,전라남도 곡성군 목사동면 신기리 1-2,35.09395689,127.2764599,3407,주차장+화장실,,,,,,2021-09-01,40,9,"천태암은 곡성군 목사동면에 있는 아미산 정상 부근에 자리 잡고 있는 사찰로, 대한불교조계종 제19교구 화엄사의 말사이다. 천태암은 665년 혜암율사가 창건하여 주석하였던 고찰로서 고려 명종 25년(1195)에 보조국사 지눌 스님이 자연석굴에 16나한을 모시고 법당과 요사를 중창하여 후학들을 제접하였다고 한다. 국사는 이곳 산세가 중국의 불교성지인 아미산과 닮았다하여 아미산 천태암이라 이름하고 산신각 위 벼랑에 형성된 대에 앉아 선정을 닦았으니 이곳을 보조국사 좌선대라 전해진다.하루는 좌선대에서 나무새를 만들어 날려 보내니 조계산에 날아 앉는지라 지금의 송광사로 자리를 옮기고 직접 다리를 만들어 천태암과 송광사를 오고 갔다고 한다. 다리의 이름은 ‘토성칠교’로 오늘날에도 ‘토성칠교를 건너면 무병장수하고 극락왕생 한다’는 이야기가 전해지고 있다. 동사열전에 따르면 석곡 출신 용운처익 스님이 경신년(1806)과 신유년(1861)간에 곡성 천태암을 중수했다는 기록이 있고, 또한 근대에 동명선지 스님이 쓴 천태암중수화문에도 천태암 중수에 인연을 지을 것을 권하고 있어 천태암은 면면히 그 위상을 유지하고 있었음을 알 수 있다. 천태암은 정유년(1957) 화재 때 전각 일부가 피해를 입었음에도 불구하고 그 명맥을 이어오던 중 호연스님의 원력과 신도님들의 불심과 사회 각계 뜻 있는 분들의 동참으로 갑신년(2004)에 다시 중창되었으며, 경자년(2020)에 전통사찰 제 97호로 지정받았다.",061-363-2011,전라남도 곡성군청 문화체육과,2023-08-01
"용산재",관광지,전라남도 곡성군 목사동면 신숭겸로 226,전라남도 곡성군 목사동면 구룡리 180,35.13103091,127.3210133,9653,주차장,,,,,,2021-09-01,20,40,"고려의 개국 공신 신숭겸(∼927)의 탄생지를 중심으로 이루어진 장군의 유적이다.신숭겸은 왕건을 도와 궁예를 몰아내고 고려를 건국하는데 큰 공을 세워 개국 일등공신이 되었다. 고려 태조가 즉위한 몇 년 뒤 후백제의 견훤은 신라를 공격하였다. 이에 크게 분개한 태조는 군사를 거느리고 나가 싸웠으나 후백제군에 포위되어 위급하게 되었다. 이 때 신숭겸이 태조를 구하고 후백제군과 싸우다 전사하였다. 이 유적지에는 제사를 모시는 용산재와 구룡문, 유허비, 유허단 및 비각이 있으며 해마다 9월 중에 제사를 지낸다.",061-363-1495,전라남도 곡성군청 문화체육과,2023-08-01
"동악산",관광지,전라남도 곡성군 곡성읍 도림로 175,전라남도 곡성군 곡성읍 월봉리 327,35.26726372,127.2575047,20,주차장+화장실,,,,,,2021-09-01,1000,76,"삼남제일 암반계류 청류동 계곡 풍치 일품인 동악산 (위치 : 곡성읍~입면, 높이 : 736.8m)우선 動樂山을 동락산 이라 읽지 않고, 동악산 이라 읽는 까닭부터 밝혀야 이 산을 이해하는데 도움이 되겠다. 대개 樂 은 뒤에 딸려 나올 때 락으로 읽힌다. 도락산(道樂山)이니 진락산(眞樂山)이니 하는 것이 그런 경우인데, 이 경우는 즐거울 락의 경우다. 그러나 동악산의 경우에는 풍류 악으로 읽어야 한다. 천상의 노래, 즉 음악이 울린다(동한다)는 전설에서 비롯되기 때문이다. 유래는 이렇다. 이 산의 개산조인 원효대사가 성출봉(聖出峰 형제봉 동봉으로 동악산 최고봉) 아래에 길상암을 짓고 원효골(청류동 남쪽 골짜기)에서 도를 베풀고 있는데 하루는 꿈에 성출봉과 16아라한이 그를 굽어보는지라 깨어나 즉시 성출봉에 올라가 보았더니 1척 남짓한 아라한 석상들이 솟아났다는 것이다.원효가 열일곱 차례나 성출봉을 오르내리면서 아라한 석상들을 길상암에 모셔 놓으니 육시(六時) - 불교에서 하루를 여섯으로 나눈 염불독경의 시각으로 신조, 일중, 일몰, 초야, 중야, 후야- 만 되면 천상에서 음악이 들려 온 산에 퍼졌다 한다. 도림사 응진전에 봉안된 아라한상들이 당시의 것이라 전해지고 있으나 신빙성은 없다.마을 주민들은 곡성 마을에서 장원급제자가 탄생하게 되면 이 산에서 노래가 울려 펴졌다고도 한다. 남원 실상사 약사전의 약사여래상처럼 나라에 불길한 징후가 나타나면 땀을 흘리는 흉조를 나타내는 불상이 있는가 하면 동악산처럼 길조를 알리는 산도 있기 마련이다. 곡성의 진산인 동악산은 크게 두 산덩어리가 남북으로 놓여 있다. 각 산덩어리에는 비슷한 높이의 정상이 있는데 이 두 산덩어리를 가르는 것이 배넘이재이고, 남봉(형제봉·동봉과 서봉으로 형성돼 북봉에 동악산, 남봉에 형제봉 이라 표기해 놓고 있지만 최고봉은 형제봉이 된다. 산이름의 유래가 성출봉(형제봉 동봉)에서 유래됐다는 것과 주요 등산로가 형제봉을 중심으로 더 잘 나 있다는 점은 형제봉이 동악산의 주봉임을 뒷받침해 주고 있다.이 산을 삼남 제일의 암반계류라 부르는 까닭은 산들목에 있는 도림사로 들어서면서 알게 된다. 그다지 깊지 않은 계곡인데도, 암반이 펼쳐지는 시원스런 품세는 삼남에서 제일이라는 과찬이 무색하지 않을 정도이고 길이도 200여m에 달한다. 청류동계곡이라 부르는 이 계곡의 암반에는 새긴 글자도 무수히 널려 있다. 누군가 이 암반계류의 절경마다 一曲(일곡) 二曲(이곡)하며 구곡까지 새겨 놓았는데, 더러는 깨지고 더러는 도로확장으로 사라지기도 했다. 도림사 입구 상가 주차장 부근에서 2곡, 4곡, 5곡 등의 곡이름과 淸流洞(청류동), 丹心臺(단심대), 樂樂臺(낙락대) 등의 지명, 樂山玩草 吟風弄月(요산완초 음풍농월)이니 淸流水石 動樂風景(청류수석 동악풍경)이니 하는 싯구, 그리고 아무개 장구처(杖 處)라 하며 자기 이름이나 호를 새긴 크고 작은 각자들을 마치 설악산 비선대나 두타산 무릉계에서처럼 발견할 수 있다.도림사 일대가 관광지로 지정된 동악산은 봄이면 벚꽃이 흐드러지게 피는 곳이기도 하다. 이곳 벚꽃은 쌍계사보다 약 1주일 늦다.",061-360-8772,전라남도 곡성군청 산림과,2023-08-01
"봉두산",관광지,전라남도 곡성군 죽곡면 태안로 622-215,전라남도 곡성군 죽곡면 원달리 산 18-1,35.13195828,127.3863807,17,주차장,,,,,,2021-09-01,1000,9,"천년사찰 구산선문 태안사 품은 명산.지형도에는 봉두산이라 표기돼 있지만, 이 산 안에 깃든 태안사 일주문 현액에는 桐裏山(동리산) 泰安寺(태안사) 라 되어 있다. 산이름이 언제 바뀌었는지는 몰라도 두 이름에 연관이 전혀 없는 것은 아니다. 봉황이 서식하는 나무가 오동나무이고 태안사가 자리잡은 곳을 둘러싼 주변 산세가 오동나무 줄기 속처럼 아늑해서 동리산이라 불렀으며 둘러싼 주변 산세의 최고점을 봉황의 머리 즉 봉두산이라 불렀을 가능성이 없지 않다. 봉두산 주변에는 곡성 특유의 내륙산지를 이루고 있어 정상에 올라서면 순천쪽 황학리의 작은 들판을 제외하고 주변 조망이 온통 산뿐이다. 남서쪽으로 삼산과 희야산 능선 넘어로 모후산이 오똑하고 북서쪽으로는 통명산 넘어 무등산까지 시야가 트인다. 동쪽으로는 둥주리봉과 자라봉, 그리고 지리산이 장막을 치고 있다. 이러한 내륙산지 조망이 산행의 맛으로는 제일이지만 봉두산은 태안사 여행에 초점을 맞추어도 좋을 산이다. 곡성~구례 간 17번 국도 상 압록(보성강이 섬진강에 합류하는 곳)에서 18번 국도쪽(서쪽)으로 방향을 틀면 마치 히말라야의 한 거대한 협곡에 들어선 듯한 기분이 들고 약 4km정도 강변 도로를 따라 산모퉁이를 돌아들면 태안사로 드는 다리가 나온다. 이 다리를 건너 약 5km 가면 태안사 입구에 닿는데, 강변을 따라 난 도로에 차량통행도 뜸해 드라이브코스로도 일품이다. 장승 한 쌍과 거대한 느티나무가 서 있는 입구서부터 다시 협곡을 비집고 낸 비포장길을 따라 들어서면 자유교 넘어 주차장이 마련돼 있다. 여기에 차를 놓고 정심교, 반야교, 해탈교를 건너 능파각에 이르는 길은 호젓하기 그지없고, 봄이면 벚꽃이 터널을 이룬다. 능파각은 계곡에 걸쳐 지은 고색창연한 다리겸 정자다. 경찰충혼탑이 나오면 태안사는 바로 그 위 넓은 터에 자리잡고 있다.",061-360-8780,전라남도 곡성군청 산림과,2023-08-01
"설산",관광지,,전라남도 곡성군 옥과면 설옥리 산 256-1,35.29950593,127.1025224,6,주차장,,,,,,2021-09-01,2000,34,해발 522.6m의 설산은 산 정상의 햐얀 규암이 멀리서 바라보면 눈처럼 하얗게 보여 설산(雪山)이라 불리어 지고 괘일봉에 걸린 눈부신 황혼은 곡성 8경에 속한다. 설옥리 목동마을을 지나 임도를 따라 10여분 정도 올라가면 설산 수도암이 품안에 아담하게 들어 앉아 있다. 설산 수도암은 신라시대 설두화상이 수도한 곳으로 전해지며 그 당시 건물은 없었고 1928년 임공덕보살이 창건한 건물이 지금까지 전해오고 있는 작은 암자이다. 수도암 앞 마당에는 지방문화재 자료 제84호로 지정된 잣나무가 있는데 잣나무는 수령이 200년 정도 된다고 한다. 설산을 오르면 수도암 뒷편 산길을 따라 20분 오르다 보면 커다란 두개의 바위가 수문장처럼 좌우로 나란히 서 있고 그 사이를 약간 내려가면 헬기장과 야묏동이 나타난다. 등산코스로 잘 알려진 설산은 헬기장에서 조금 올라 설산 정상에 이르면 책을 층층히 쌓아 놓은 것 같은 맞은편의 괘일산 기암괴석이 웅장하게 한눈에 들어오고 옥과방면의 올망졸망한 산들이 마치 군대에서 일열로 도열해 있는 듯하며 담야쪽을 바라다보면 날씨가 좋을 때는 멀리 광주 무등산까지 보이며 전북 순창군 풍산면 전체가 내려다 보이는 설산은 사시사철 소풍객과 등산객의 발길이 끊이지 않고 있다.,061-360-8780,전라남도 곡성군청 산림과,2023-08-01
